Date,Open,High,Low,Close
2025-09-20 07:00:00,3688.92,3691.07,3684.46,3689.7
2025-09-20 08:00:00,3689.95,3691.6,3686.81,3691.59
2025-09-20 09:00:00,3691.59,3692.88,3686.67,3690.16
2025-09-20 10:00:00,3690.16,3693.0,3690.16,3692.56
2025-09-20 11:00:00,3692.56,3693.04,3687.15,3687.28
2025-09-20 12:00:00,3687.28,3687.63,3683.4,3683.42
2025-09-20 13:00:00,3683.41,3690.66,3683.41,3689.93
2025-09-20 14:00:00,3689.94,3692.33,3687.03,3687.49
2025-09-20 15:00:00,3687.54,3688.27,3683.34,3685.28
2025-09-20 16:00:00,3685.29,3688.94,3685.29,3688.88
2025-09-20 17:00:00,3688.87,3688.88,3683.46,3685.89
2025-09-20 18:00:00,3685.9,3688.18,3684.39,3687.78
2025-09-20 19:00:00,3687.79,3690.88,3687.44,3687.44
2025-09-20 20:00:00,3687.44,3690.05,3684.0,3684.6
2025-09-20 21:00:00,3684.8,3689.15,3684.79,3688.72
2025-09-20 22:00:00,3688.71,3689.0,3686.14,3688.99
2025-09-20 23:00:00,3688.99,3691.96,3687.03,3691.44
2025-09-22 07:00:00,3689.63,3689.72,3689.63,3689.72
2025-09-22 08:00:00,3689.72,3695.34,3686.83,3691.81
2025-09-22 09:00:00,3691.8,3694.82,3689.93,3691.63
2025-09-22 10:00:00,3691.59,3696.72,3691.28,3695.18
2025-09-22 11:00:00,3695.18,3700.0,3692.0,3693.71
2025-09-22 12:00:00,3693.71,3697.79,3690.01,3690.12
2025-09-22 13:00:00,3690.01,3698.93,3690.0,3696.49
2025-09-22 14:00:00,3696.63,3696.88,3693.97,3695.29
2025-09-22 15:00:00,3695.29,3705.0,3693.0,3703.02
2025-09-22 16:00:00,3703.02,3723.4,3699.75,3719.72
2025-09-22 17:00:00,3719.74,3734.0,3714.01,3720.56
2025-09-22 18:00:00,3720.55,3727.89,3719.99,3725.79
2025-09-22 19:00:00,3725.79,3733.99,3725.3,3731.1
2025-09-22 20:00:00,3731.14,3738.99,3730.7,3738.7
2025-09-22 21:00:00,3738.71,3742.62,3730.7,3733.88
2025-09-22 22:00:00,3733.88,3735.2,3724.06,3728.95
2025-09-22 23:00:00,3728.96,3733.0,3722.34,3728.37
2025-09-23 00:00:00,3728.37,3734.52,3725.93,3733.42
2025-09-23 01:00:00,3733.41,3747.68,3732.46,3746.56
2025-09-23 02:00:00,3746.57,3746.93,3742.04,3743.15
2025-09-23 03:00:00,3743.16,3753.88,3743.15,3753.39
2025-09-23 04:00:00,3753.38,3758.83,3749.29,3757.7
2025-09-23 05:00:00,3757.7,3759.29,3751.74,3757.36
2025-09-23 06:00:00,3757.52,3762.62,3755.8,3760.41
2025-09-23 07:00:00,3760.42,3766.4,3760.05,3764.83
2025-09-23 08:00:00,3764.84,3764.84,3750.64,3750.7
2025-09-23 09:00:00,3750.71,3758.55,3750.55,3757.71
2025-09-23 10:00:00,3757.74,3760.92,3756.59,3759.23
2025-09-23 11:00:00,3759.22,3771.0,3757.26,3763.74
2025-09-23 12:00:00,3763.74,3764.63,3748.89,3751.02
2025-09-23 13:00:00,3751.02,3757.95,3749.22,3756.33
2025-09-23 14:00:00,3756.33,3758.13,3752.14,3753.05
2025-09-23 15:00:00,3753.04,3768.17,3753.04,3763.04
2025-09-23 16:00:00,3763.05,3767.22,3761.49,3763.82
2025-09-23 17:00:00,3763.82,3765.0,3759.09,3761.56
2025-09-23 18:00:00,3761.57,3787.92,3761.57,3783.75
2025-09-23 19:00:00,3783.74,3800.0,3783.74,3797.06
2025-09-23 20:00:00,3797.07,3800.0,3790.44,3792.56
2025-09-23 21:00:00,3792.33,3797.69,3790.09,3792.28
2025-09-23 22:00:00,3791.66,3795.13,3784.44,3793.07
2025-09-23 23:00:00,3793.07,3795.27,3780.36,3789.75
