Date,Open,High,Low,Close,Volume
2023-06-26 09:30:00,250.065002,258.37,250.0,254.72,41727003.0
2023-06-26 10:30:00,254.73,255.10001,248.53,249.32001,30950945.0
2023-06-26 11:30:00,249.3,251.19,242.64999,243.84,28917560.0
2023-06-26 12:30:00,243.82001,246.63,243.13,246.3428,21650096.0
2023-06-26 13:30:00,246.36011,246.5199,243.85001,245.59,15799677.0
2023-06-26 14:30:00,245.52,247.2,244.39999,244.67999,18082713.0
2023-06-26 15:30:00,244.71001,244.95,240.7,241.020004,16072466.0
2023-06-27 09:30:00,243.24001,247.10001,240.85001,245.065201,49230945.0
2023-06-27 10:30:00,245.089996,246.3,241.8,244.9516,24743514.0
2023-06-27 11:30:00,244.9511,245.73,243.435,244.7301,17202681.0
2023-06-27 12:30:00,244.75,247.50999,244.36,247.27,16228643.0
2023-06-27 13:30:00,247.3,250.2,247.28999,248.9129,21082537.0
2023-06-27 14:30:00,248.94,249.28,246.58,249.013794,19312492.0
2023-06-27 15:30:00,249.028503,250.38989,248.53059,250.2,12164394.0
2023-06-28 09:30:00,249.7,257.29999,248.89,257.29501,43536328.0
2023-06-28 10:30:00,257.31,259.88,254.89999,255.9906,30984827.0
2023-06-28 11:30:00,255.99001,258.88,255.60001,256.20001,20438010.0
2023-06-28 12:30:00,256.20499,256.91,253.89999,256.31989,20522481.0
2023-06-28 13:30:00,256.2901,256.98999,254.059998,256.255,15629381.0
2023-06-28 14:30:00,256.25,257.14001,254.48,256.01001,16196593.0
2023-06-28 15:30:00,255.98,256.54999,255.3101,256.39999,8945305.0
2023-06-29 09:30:00,258.029999,260.73999,253.61,255.48,40589891.0
2023-06-29 10:30:00,255.48,258.64001,254.2,258.1261,22360742.0
2023-06-29 11:30:00,258.13989,258.92999,256.62,257.63,15350098.0
2023-06-29 12:30:00,257.62149,257.66,254.45,256.42551,16109059.0
2023-06-29 13:30:00,256.42999,256.69,254.67999,255.83,12242348.0
2023-06-29 14:30:00,255.85001,257.30939,255.10001,256.32001,13040954.0
2023-06-29 15:30:00,256.29999,257.59,255.84,257.53,9094163.0
2023-06-30 09:30:00,260.60001,264.23999,259.89001,263.48499,36708547.0
2023-06-30 10:30:00,263.48999,264.45001,262.53,263.8558,17282027.0
2023-06-30 11:30:00,263.85001,263.875,261.60001,263.69501,13867972.0
2023-06-30 12:30:00,263.70001,264.089996,263.029999,263.38501,9951960.0
2023-06-30 13:30:00,263.38,263.92999,262.56,262.81,9358361.0
2023-06-30 14:30:00,262.82001,263.16,262.01001,262.99899,11522906.0
2023-06-30 15:30:00,262.98001,263.098389,261.63,261.67911,9086213.0
2023-07-03 09:30:00,276.48999,284.25,276.079987,281.65619,58094907.0
2023-07-03 10:30:00,281.64001,282.019989,277.3204,277.79581,25514201.0
2023-07-03 11:30:00,277.79999,278.54999,275.10999,277.67999,21690225.0
2023-07-03 12:30:00,277.68991,280.12,277.029999,278.47,21250327.0
2023-07-03 13:30:00,278.4999,290.1209,162.3567,278.565,0.0
2023-07-03 14:30:00,277.96,279.2,277.76,278.43,0.0
2023-07-03 15:30:00,278.565,279.82,278.32,278.565,0.0
2023-07-05 09:30:00,280.25,282.9393,278.0,280.9046,38265030.0
2023-07-05 10:30:00,280.8847,281.34991,278.029999,278.5,19635502.0
2023-07-05 11:30:00,278.5,280.20001,277.60001,279.37,15612276.0
2023-07-05 12:30:00,279.38,281.23001,278.88,280.79999,14127743.0
2023-07-05 13:30:00,280.79001,281.049896,278.75,279.41,12675485.0
2023-07-05 14:30:00,279.44989,282.39001,279.42999,282.3299,15309690.0
2023-07-05 15:30:00,282.31,283.85001,281.81,282.44,12527968.0
2023-07-06 09:30:00,278.089996,279.97,272.88,275.38,39505205.0
2023-07-06 10:30:00,275.39001,276.47919,274.26999,275.20001,18756080.0
2023-07-06 11:30:00,275.17999,278.35989,274.97009,277.93729,15746517.0
2023-07-06 12:30:00,277.91,278.70999,276.29999,276.53,13144999.0
2023-07-06 13:30:00,276.5101,277.75,275.57001,277.065002,11938572.0
2023-07-06 14:30:00,277.05011,278.20001,276.95001,277.57001,10056467.0
2023-07-06 15:30:00,277.56,277.84,276.31,276.54001,7094205.0
2023-07-07 09:30:00,278.42999,280.78,275.20999,276.59,34795406.0
2023-07-07 10:30:00,276.591,277.89001,274.049988,277.4599,18861599.0
