Price,Close,High,Low,Open,Volume
Ticker,NVDA,NVDA,NVDA,NVDA,NVDA
Datetime,,,,,
2025-05-08 17:30:00+00:00,117.9749984741211,118.19100189208984,117.52999877929688,117.90499877929688,0
2025-05-08 18:30:00+00:00,118.54049682617188,118.68000030517578,117.86000061035156,117.97460174560547,15953072
2025-05-08 19:30:00+00:00,117.37000274658203,118.5999984741211,117.29499816894531,118.55000305175781,16200137
2025-05-09 13:30:00+00:00,116.13159942626953,118.2300033569336,115.8499984741211,117.34500122070312,41154488
2025-05-09 14:30:00+00:00,116.37750244140625,116.7699966430664,115.20999908447266,116.12999725341797,28264877
2025-05-09 15:30:00+00:00,116.28500366210938,116.7699966430664,115.9800033569336,116.37999725341797,12954336
2025-05-09 16:30:00+00:00,116.43000030517578,116.66999816894531,116.11000061035156,116.28019714355469,9605723
2025-05-09 17:30:00+00:00,116.58000183105469,116.91999816894531,116.2300033569336,116.42150115966797,9257679
2025-05-09 18:30:00+00:00,116.7251968383789,116.80000305175781,116.47000122070312,116.5802001953125,8950592
2025-05-09 19:30:00+00:00,116.62069702148438,116.86499786376953,116.43000030517578,116.7249984741211,11620676
2025-05-12 13:30:00+00:00,120.86000061035156,122.81999969482422,120.47000122070312,121.94000244140625,70528533
2025-05-12 14:30:00+00:00,121.65139770507812,121.8499984741211,120.27999877929688,120.86000061035156,28095532
2025-05-12 15:30:00+00:00,122.37129974365234,122.72000122070312,121.44499969482422,121.65499877929688,22575292
2025-05-12 16:30:00+00:00,122.6614990234375,122.93000030517578,122.33000183105469,122.3949966430664,17996416
2025-05-12 17:30:00+00:00,122.73500061035156,122.94000244140625,122.47000122070312,122.66500091552734,15972208
2025-05-12 18:30:00+00:00,122.58499908447266,123.0,122.47000122070312,122.73500061035156,19606969
2025-05-12 19:30:00+00:00,122.98999786376953,123.0,122.07009887695312,122.58000183105469,24973516
2025-05-13 13:30:00+00:00,129.21499633789062,129.49989318847656,124.47000122070312,124.72000122070312,97107956
2025-05-13 14:30:00+00:00,129.8300018310547,130.8300018310547,128.9199981689453,129.22500610351562,69868680
2025-05-13 15:30:00+00:00,130.4600067138672,130.47999572753906,129.32000732421875,129.8350067138672,33679000
2025-05-13 16:30:00+00:00,130.8350067138672,130.99000549316406,130.08999633789062,130.4499969482422,24889147
2025-05-13 17:30:00+00:00,130.44500732421875,131.21890258789062,129.86000061035156,130.8350067138672,29883803
2025-05-13 18:30:00+00:00,130.21499633789062,130.6750030517578,129.72000122070312,130.4499969482422,25419839
2025-05-13 19:30:00+00:00,129.83999633789062,130.4499969482422,129.82000732421875,130.21499633789062,22868247
2025-05-14 13:30:00+00:00,132.66000366210938,134.86000061035156,131.67999267578125,133.1699981689453,92146747
2025-05-14 14:30:00+00:00,134.15499877929688,134.27999877929688,132.3699951171875,132.63999938964844,35295196
2025-05-14 15:30:00+00:00,134.97000122070312,135.11000061035156,133.9600067138672,134.15499877929688,30186219
2025-05-14 16:30:00+00:00,134.4600067138672,135.43499755859375,133.9600067138672,134.97830200195312,25502850
2025-05-14 17:30:00+00:00,134.55999755859375,135.14999389648438,134.22999572753906,134.46090698242188,18795906
2025-05-14 18:30:00+00:00,134.88999938964844,135.32000732421875,134.55149841308594,134.55499267578125,21685495
2025-05-14 19:30:00+00:00,135.34710693359375,135.39500427246094,134.25999450683594,134.88999938964844,23440039
2025-05-15 13:30:00+00:00,133.27000427246094,134.72000122070312,132.66000366210938,133.8524932861328,64545441
2025-05-15 14:30:00+00:00,134.38499450683594,134.49000549316406,132.84010314941406,133.3000030517578,26958012
2025-05-15 15:30:00+00:00,135.2165985107422,135.25,134.2100067138672,134.39999389648438,22394144
2025-05-15 16:30:00+00:00,136.22000122070312,136.3000030517578,135.10000610351562,135.21499633789062,27539610
2025-05-15 17:30:00+00:00,135.36000061035156,136.22000122070312,134.75999450683594,136.22000122070312,22560474
2025-05-15 18:30:00+00:00,133.73500061035156,135.58999633789062,133.58999633789062,135.36000061035156,23291803
2025-05-15 19:30:00+00:00,134.89999389648438,134.9499969482422,133.72999572753906,133.73500061035156,19243632
2025-05-16 13:30:00+00:00,135.4250030517578,136.30999755859375,135.02000427246094,136.25,57460183
2025-05-16 14:30:00+00:00,134.86500549316406,135.42999267578125,133.4600067138672,135.4250030517578,34733736
2025-05-16 15:30:00+00:00,134.7949981689453,135.3300018310547,134.57000732421875,134.86000061035156,17561863
2025-05-16 16:30:00+00:00,135.82179260253906,135.82989501953125,134.42999267578125,134.8000030517578,19290065
2025-05-16 17:30:00+00:00,135.03500366210938,136.25,134.95199584960938,135.82009887695312,25639188
2025-05-16 18:30:00+00:00,135.08030700683594,135.63999938964844,135.01499938964844,135.03500366210938,17202833
2025-05-16 19:30:00+00:00,135.32000732421875,135.4199981689453,134.875,135.0850067138672,18371101
2025-05-19 13:30:00+00:00,135.28500366210938,135.8699951171875,132.41000366210938,132.41000366210938,70608935
2025-05-19 14:30:00+00:00,134.9250030517578,135.39999389648438,134.27999877929688,135.2949981689453,30377827
2025-05-19 15:30:00+00:00,135.22500610351562,135.72000122070312,132.85000610351562,134.9199981689453,17839663
